time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-17T04:36:40.509Z,6.0341,-72.234,35,4.2,mb,13,142,0.856,0.86,us,us7000kakx,2023-06-23T22:35:57.040Z,"7 km SSE of Sácama, Colombia",earthquake,9.62,1.965,0.199,7,reviewed,us,us
2023-06-16T23:48:18.538Z,-20.6453,-70.6888,31.267,4.2,mb,19,166,0.642,0.74,us,us7000k93z,2023-06-17T01:18:33.131Z,"70 km SW of La Tirana, Chile",earthquake,4.5,7.7,0.186,8,reviewed,us,us
2023-06-16T12:58:24.364Z,-24.1551,-67.0996,176.595,4.7,mwr,65,43,1.554,0.69,us,us7000k8x2,2023-06-26T05:06:06.040Z,"79 km W of San Antonio de los Cobres, Argentina",earthquake,6.62,6.857,,,reviewed,us,guc
2023-06-16T09:07:49.823Z,-30.4029,-72.208,13.962,4.4,mb,32,150,0.563,0.49,us,us7000k8w0,2023-06-16T12:52:29.040Z,"97 km WSW of Coquimbo, Chile",earthquake,2.52,4.634,0.19,8,reviewed,us,us
2023-06-15T19:07:34.652Z,-34.5264,-71.8898,43.6,5,mb,116,67,0.679,0.92,us,us7000k8rm,2023-06-26T15:41:46.432Z,"49 km WNW of Santa Cruz, Chile",earthquake,4.01,5.562,0.035,270,reviewed,us,us
2023-06-14T15:29:37.743Z,-35.732,-73.5752,23.434,4.2,mb,29,198,1.06,0.78,us,us7000k8fg,2023-06-16T02:25:44.040Z,"Off the coast of Maule, Chile",earthquake,5.44,8.91,0.305,3,reviewed,us,us
2023-06-13T19:51:52.211Z,-22.2997,-68.8288,132.481,4.2,mb,19,68,0.631,0.77,us,us7000k89a,2023-06-13T21:03:07.040Z,"19 km NNE of Calama, Chile",earthquake,5.86,6.179,0.263,5,reviewed,us,us
2023-06-13T13:59:12.482Z,-16.5438,-69.9993,188.671,4.2,mb,18,243,1.152,0.61,us,us7000k85z,2023-06-13T14:27:22.040Z,"37 km NW of Mazo Cruz, Peru",earthquake,10.99,8.274,0.2,7,reviewed,us,us
2023-06-13T08:27:08.706Z,-16.2888,-74.0579,33.006,4.5,mb,26,147,4.109,1.34,us,us7000k854,2023-06-14T07:43:56.040Z,"Near the coast of southern Peru",earthquake,9.68,8.287,0.144,14,reviewed,us,us
2023-06-12T12:37:19.911Z,-18.9474,-67.8824,10,4.8,mb,49,71,1.432,0.71,us,us7000k7yi,2023-06-25T08:03:32.040Z,"87 km ENE of Colchane, Chile",earthquake,5.49,1.855,0.066,70,reviewed,us,us
2023-06-12T09:11:28.333Z,-24.21,-67.4306,206.069,4.5,mb,24,113,1.428,0.46,us,us7000k7y5,2023-06-13T08:07:03.040Z,"112 km W of San Antonio de los Cobres, Argentina",earthquake,3.75,12.21,0.241,5,reviewed,us,us
2023-06-12T08:51:44.683Z,-19.9631,-69.2074,98.445,4,mb,22,97,0.293,0.52,us,us7000k7y3,2023-06-12T09:08:26.040Z,"59 km E of Huara, Chile",earthquake,5.92,5.242,0.259,4,reviewed,us,us
2023-06-12T01:51:33.016Z,6.8265,-73.0597,148.614,4.2,mb,13,118,0.928,1.16,us,us7000k9l8,2023-06-25T05:59:59.040Z,"11 km NNE of Jordán, Colombia",earthquake,7.34,9.606,0.216,6,reviewed,us,us
2023-06-11T20:35:23.413Z,-22.0201,-68.787,105.989,4.6,mwr,109,41,0.897,0.58,us,us7000k7w6,2023-06-11T21:10:33.040Z,"Antofagasta, Chile",earthquake,5.1,4.216,0.065,23,reviewed,us,us
2023-06-11T06:36:50.240Z,-24.1423,-67.1026,219.632,4.3,mb,18,87,1.542,0.57,us,us7000k7s0,2023-06-11T08:09:08.040Z,"80 km W of San Antonio de los Cobres, Argentina",earthquake,11.46,18.533,0.217,6,reviewed,us,us
2023-06-11T04:57:55.822Z,-21.1401,-68.9302,109.468,4.4,mb,37,52,0.529,0.75,us,us7000k7rm,2023-06-11T05:23:29.040Z,"70 km W of Ollagüe, Chile",earthquake,5.41,6.704,0.095,32,reviewed,us,us
2023-06-10T23:51:45.949Z,10.0493,-79.5157,10,4.2,mb,11,136,3.324,0.17,us,us7000k8y8,2023-06-16T20:46:22.040Z,"51 km N of Nombre de Dios, Panama",earthquake,10.1,1.985,0.372,2,reviewed,us,us
2023-06-10T15:06:46.970Z,-21.6179,-69.5058,10,4.6,mb,24,101,0.303,1,us,us7000k7n6,2023-06-11T05:18:38.215Z,"82 km NNE of María Elena, Chile",earthquake,5.31,1.835,0.107,26,reviewed,us,us
2023-06-10T13:21:06.706Z,-30.7268,-71.578,40.55,4.8,mb,34,97,0.687,1.06,us,us7000k7mt,2023-06-10T13:39:31.040Z,"",earthquake,6.2,5.454,0.042,173,reviewed,us,us
2023-06-10T07:55:47.205Z,-24.1683,-67.0604,201.981,3.9,mb,20,106,1.587,0.41,us,us7000k7lq,2023-06-21T04:56:36.040Z,"75 km W of San Antonio de los Cobres, Argentina",earthquake,4.64,10.738,0.23,5,reviewed,us,us
2023-06-10T07:24:29.342Z,-24.1175,-66.9529,189.009,4.3,mwr,43,39,1.616,0.93,us,us7000k7ll,2023-06-21T04:48:18.601Z,"Salta, Argentina",earthquake,8.15,6.711,,,reviewed,us,guc
2023-06-10T06:53:57.656Z,3.8178,-76.489,146.602,4.3,mb,37,98,2.39,0.79,us,us7000k7li,2023-06-21T04:45:55.507Z,"3 km E of Restrepo, Colombia",earthquake,7.72,9.868,0.119,20,reviewed,us,us
2023-06-09T21:19:30.029Z,-23.4825,-69.5622,80.404,4.1,mb,21,111,0.773,0.4,us,us7000k7iy,2023-06-09T22:12:36.040Z,"87 km ENE of Antofagasta, Chile",earthquake,3.8,7.701,0.214,6,reviewed,us,us
2023-06-09T03:21:44.159Z,-23.5801,-67.0339,216.705,4.3,mb,17,89,1.225,0.77,us,us7000k7ac,2023-06-09T03:59:16.040Z,"",earthquake,11.42,4.718,0.239,7,reviewed,us,us
2023-06-08T01:42:04.401Z,-21.3059,-67.1641,200.789,4.5,mb,39,47,1.889,0.85,us,us7000k71i,2023-06-21T05:15:10.040Z,"100 km SSW of Uyuni, Bolivia",earthquake,7.75,4.095,0.163,11,reviewed,us,us
2023-06-07T23:08:19.265Z,-16.398,-74.3025,21.815,4.6,mb,37,150,4.26,1.1,us,us7000k70z,2023-06-07T23:21:46.040Z,"",earthquake,10.71,6.862,0.091,36,reviewed,us,us
2023-06-07T22:52:05.594Z,-16.3918,-74.1949,35,4.9,mb,77,133,4.172,1,us,us7000k70x,2023-06-07T23:10:14.040Z,"64 km WSW of Atico, Peru",earthquake,8.29,1.907,0.053,111,reviewed,us,us
2023-06-07T22:49:43.053Z,-27.8732,-67.1262,190.632,4.5,mb,31,111,2.06,0.93,us,us7000k70w,2023-06-07T23:00:16.040Z,"17 km S of Londres, Argentina",earthquake,9.61,13.112,0.171,10,reviewed,us,us
2023-06-07T17:39:23.894Z,6.0377,-77.8301,10,5.1,mww,110,39,3.689,0.89,us,us7000k6yf,2023-06-15T15:42:11.040Z,"51 km WSW of Bahía Solano, Colombia",earthquake,6.6,1.762,0.062,25,reviewed,us,us
2023-06-07T14:54:06.775Z,-35.8205,-73.6043,10,4.4,mb,34,115,0.984,0.49,us,us7000k6ws,2023-06-09T15:38:57.040Z,"105 km NNW of Tomé, Chile",earthquake,4.6,1.911,0.143,14,reviewed,us,us
2023-06-07T01:47:29.099Z,-32.4889,-71.7949,35,4,mwr,39,115,0.825,0.51,us,usd000ju19,2023-06-19T04:52:25.555Z,"53 km W of La Ligua, Chile",earthquake,3.33,1.88,0.049,40,reviewed,us,us
2023-06-07T01:47:28.913Z,-32.5051,-71.8421,35,4,mwr,38,177,0.867,0.49,us,us7000k6rz,2023-06-08T21:10:22.040Z,"57 km W of La Ligua, Chile",earthquake,4.56,1.51,0.053,34,reviewed,us,us
2023-06-07T01:36:53.497Z,-17.224,-71.1016,95.748,4.2,mb,20,169,1.351,0.91,us,us7000k6rx,2023-06-19T03:02:30.040Z,"Near the coast of southern Peru",earthquake,6.62,9.749,0.215,6,reviewed,us,us
2023-06-06T20:24:38.369Z,-23.2551,-68.5661,120.887,4.3,mb,26,79,0.467,1.07,us,us7000k6q0,2023-06-21T17:51:43.040Z,"53 km SW of San Pedro de Atacama, Chile",earthquake,7.47,5.758,0.177,12,reviewed,us,us
2023-06-06T17:53:22.243Z,-15.8615,-72.2697,10,4.5,mb,37,92,3.102,0.68,us,us7000k6p0,2023-06-21T16:47:20.040Z,"19 km S of Ayo, Peru",earthquake,7.95,1.799,0.115,24,reviewed,us,us
2023-06-06T17:41:52.679Z,-21.3184,-69.8923,54.307,4.5,mb,26,73,0.004,0.79,us,us7000k6nz,2023-06-21T16:42:16.601Z,"91 km NNE of Tocopilla, Chile",earthquake,2.63,4.697,0.17,10,reviewed,us,us
2023-06-05T21:33:57.522Z,-21.4579,-70.0928,79.08,4.4,mb,20,170,0.229,0.73,us,us7000k6ip,2023-06-05T21:54:31.775Z,"71 km N of Tocopilla, Chile",earthquake,5.29,5.162,0.155,12,reviewed,us,us
2023-06-05T16:54:49.901Z,-18.2012,-70.3207,85.725,4,mb,14,221,0.17,0.78,us,us7000k6gk,2023-06-12T19:08:13.180Z,"",earthquake,8.66,3.356,0.26,4,reviewed,us,us
2023-06-05T13:25:15.423Z,-15.7861,-71.8108,10,4.3,mb,30,133,2.865,0.86,us,us7000k6ek,2023-06-12T16:36:01.040Z,"16 km SSW of Maca, Peru",earthquake,7.96,1.593,0.188,8,reviewed,us,us
2023-06-05T12:43:38.585Z,-15.8017,-72.0389,11.026,4.8,mb,46,140,3.027,0.93,us,us7000k6e9,2023-06-17T08:07:04.694Z,"10 km SE of Huambo, Peru",earthquake,10.01,4.598,0.075,55,reviewed,us,us
2023-06-05T11:55:30.521Z,-15.8993,-72.0405,10,5,mb,67,125,2.946,0.68,us,us7000k6du,2023-06-17T07:00:11.839Z,"southern Peru",earthquake,8.47,1.863,0.048,138,reviewed,us,us
2023-06-05T05:24:26.142Z,-24.0925,-67.2204,205.018,4,mb,17,89,1.436,0.54,us,us7000k6ck,2023-06-05T15:56:28.040Z,"92 km W of San Antonio de los Cobres, Argentina",earthquake,6.02,11.107,0.233,5,reviewed,us,us
2023-06-04T21:46:33.385Z,-20.6936,-68.907,109.249,4.1,mb,29,52,0.596,0.52,us,us7000k6aq,2023-06-15T03:46:23.040Z,"87 km ESE of La Tirana, Chile",earthquake,5.16,6.763,0.185,8,reviewed,us,us
2023-06-04T18:09:02.316Z,-20.475,-69.2624,114.909,4.4,mb,13,109,0.348,0.42,us,us7000k6a1,2023-06-11T15:36:58.688Z,"",earthquake,4.43,6.169,0.268,4,reviewed,us,us
2023-06-04T08:45:02.714Z,-23.0536,-70.2456,35,4.2,mb,11,184,0.711,0.24,us,us7000k689,2023-06-04T09:07:34.040Z,"21 km ENE of Mejillones, Chile",earthquake,5.87,1.999,0.216,6,reviewed,us,us
2023-06-04T07:30:42.933Z,-28.4172,-70.8739,67.643,4.1,mb,28,123,0.276,0.92,us,us7000k67y,2023-06-04T08:14:26.040Z,"20 km NNW of Vallenar, Chile",earthquake,5.97,6.059,0.197,7,reviewed,us,us
2023-06-04T06:05:25.975Z,-23.5529,-67.7469,118.936,4.7,mwr,72,50,0.718,1.48,us,us7000k67l,2023-06-04T06:28:37.040Z,"84 km SSE of San Pedro de Atacama, Chile",earthquake,4.23,6.679,,,reviewed,us,guc
2023-06-04T01:25:04.448Z,-15.1713,-72.9552,9.639,4,mb,17,151,4.048,0.26,us,us7000k66p,2023-06-04T05:28:52.241Z,"5 km WNW of Mungui, Peru",earthquake,8.86,5.29,0.367,2,reviewed,us,us
2023-06-03T14:12:56.065Z,-18.3088,-71.393,26.809,4.3,mwr,27,171,1,0.7,us,us7000k63q,2023-06-23T16:40:24.040Z,"73 km S of Pacocha, Peru",earthquake,6.9,6.956,0.073,18,reviewed,us,us
