Year,Disaster Subtype,ISO,Location,Dis Mag Value,Latitude,Longitude,Local Time,date,End date,Total Deaths,Total Affected,Total Damages US$(2021)
2003,Ground movement,JPN,"Iwate, Miyagi, Yamagata, Akita, Aomori provinces",7.0,38.849,141.568,18:24,2003-05-26,2003-05-26,,2303.0,370674.0
2003,Ground movement,JPN,Hokkaidoo province,7.0,41.774,143.593,04:50,2003-09-25,2003-09-25,2.0,773.0,895663.0
2003,Ground movement,JPN,"Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku, Isinomakisi, Hurukawasi, Kasimadaimati, Nangootyoon, Narusetyoo, Yamototyoo, Yoneyamatyoo districts (Miyagi province)",6.0,38.432,141.003,07:13,2003-07-25,2003-07-25,,18191.0,653850.0
2004,Ground movement,JPN,"Odiyasi, Nagaokasi, Tookamatisi districts (Niigata province) ",7.0,37.226,138.779,17:56,2004-10-23,2004-10-23,40.0,62183.0,43383054.0
2004,Ground movement,COL,Sotara district (Cauca province),5.0,2.265,-76.595,02:06,2004-08-18,2004-08-18,1.0,502.0,
2004,Ground movement,COL,"Litoral de San Juan, Litoral de San Juan (is.), Bajo Baudo (is.), Bajo Baudo (pizzaro) districts (Choco province), Cali, Buenaventua, Buenaventura (is.), El Cerrito, Restrepo, Zarzal, Bugalagrande, Calima (darien), Vijes districts (Valle del Cauca province)",7.0,4.695,-77.508,04:06,2004-11-15,2004-11-15,,8036.0,
2005,Ground movement,JPN,Hukuoka province,7.0,33.807,130.131,10:53,2005-03-20,2005-03-20,1.0,3535.0,599421.0
2005,Ground movement,JPN,"Hukuoka, Saga provinces",6.0,33.637,130.179,,2005-04-19,2005-04-19,,895.0,
2003,Ground movement,USA,"Paso Robles, Templeton, Atascadero, Cambria, Morro Bay, Oceano villages (San Luis Obispo district, California province)",7.0,35.7005,-121.1005,11:15,2003-12-22,2003-12-22,2.0,160.0,318175.0
2006,Ground movement,USA,Hawai province,7.0,19.878,-155.935,,2006-10-15,2006-10-15,,3529.0,217758.0
2007,Ground movement,JPN,"Nanao, Wajima districts (Isikawa province), Niigata, Toyama provinces",7.0,37.336,136.588,09:42,2007-03-25,2007-03-25,1.0,41027.0,352864.0
2007,Ground movement,COL,"El Charco, El Charco (is.), Mosquera, La Tola districts (Narino department)",7.0,2.966,-77.963,,2007-09-10,2007-09-10,,175.0,
2008,Ground movement,COL,"Quetame district (Cundinamarca province), Meta province",6.0,4.33,-73.764,,2008-05-24,2008-05-24,11.0,1754.0,13593.0
2007,Ground movement,JPN,"Aikawamati, Akadomarimura, Hatanomati, Izumozakimati, Kanaimati, Kariwamura, Kasiwazakisi, Manomati, Nagaokasi, Niigatasi, Odiyasi, Ogimati, Sanzyoosi, Sawatamati, Yosidamati, Zyooetusi districts (Niigata province), Nagano, Toyama provinces",7.0,37.535,138.446,10:13,2007-07-16,2007-07-16,9.0,14000.0,17643208.0
2007,Ground movement,JPN,"Mie, Nara, Siga provinces",5.0,34.807,136.239,,2007-04-15,2007-04-15,,201.0,
2008,Ground movement,JPN,"Mizusawasi, Moriokasi districts (Iwate province), Tukidatetyoo, Hurukawasi, Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku districts (Miyagi province), Akita province",7.0,39.03,140.881,08:43,2008-06-13,2008-06-13,23.0,448.0,226999.0
2008,Ground movement,JPN,Hatinohesi district (Aomori province),7.0,39.802,141.464,00:26,2008-07-23,2008-07-24,1.0,470.0,149520.0
2008,Ground movement,USA,"Wells city (Elko district, Nevada province)",6.0,41.1444,-114.8721,06:16,2008-02-21,2008-02-21,,2103.0,
2011,Ground movement,JPN,"Ishinomakisi, Onagawatyoo districts (Miyagi province), Yamagata province",7.0,38.276,141.588,23:32,2011-04-07,2011-04-07,2.0,132.0,
2009,Tsunami,JPN,"Sizuokasi, Yaidusi, Sagaratyoo, Huziedasi, Simadasi, Kakegawasi, Haibaratyoo districts (Sizuola province), Tookyoo province",6.0,34.743,138.264,05:07,2009-08-10,2009-08-10,1.0,25319.0,545649.0
2010,Ground movement,USA,"Ferndale, Eureka cities (Humboldt district, California province)",7.0,40.652,-124.6925,04:27,2010-01-10,2010-01-10,,630.0,16776.0
2011,Tsunami,JPN,"Hokkaidoo, Akita, Aomori, Yamagata, Miyagi, Iwate, Hukusima, Tookyoo, Ibaraki, Totigi, Gunma, Saitama, Tiba, Kanagawa, Nagano provinces",9.0,38.297,142.373,14:46,2011-03-11,2011-03-11,19846.0,368820.0,273218373.0
2013,Ground movement,COL,"Narino, Cauca, Risaralda, Quindio,Valle Del Cauca provinces",7.0,1.135,-77.393,09:16,2013-02-09,2013-02-09,,10015.0,5025.0
2013,Ground movement,JPN,Hyogo province,6.0,34.369,134.828,05:33,2013-04-12,2013-04-12,,8438.0,
2015,Ground movement,COL,"Santafe de Bogota D.c. district (Cundinamarca province), Cali district (Valle del Cauca province); Bucaramanga, Betulia districts (Santander Province)",6.0,6.7757,-72.9875,,2015-03-10,2015-03-10,,41236.0,
